,id,name,event_url,rsvp_limit,yes_rsvp_count,time,city,group_id,group_urlname
0,hsgfhqyzjbvb,CoderDojo Zurich,https://www.meetup.com/Coder-Dojo-Zurich/events/260963172/,30.0,10,1560690000000,Zürich,13186902,Coder-Dojo-Zurich
1,261807303,From Mess to Meaning: Liberating Strategic Planning in Complex Contexts,https://www.meetup.com/Liberating-Structures-User-Group-Schweiz/events/261807303/,2.0,3,1560771000000,Zürich,24329787,Liberating-Structures-User-Group-Schweiz
2,261808829,AWS and HashiCorp Terraform - better together,https://www.meetup.com/AWS-Swiss-User-Group-Zurich/events/261808829/,,76,1560787200000,Zürich,20317194,AWS-Swiss-User-Group-Zurich
3,261798794,Oyoba Community Meetup #1,https://www.meetup.com/Oyoba-building-the-future-of-banking-together/events/261798794/,40.0,19,1560787200000,8003 Zürich ,31270353,Oyoba-building-the-future-of-banking-together
4,262193834,How to Benefit as a Startup from Business Failures | Open-mic FuckUp Night ,https://www.meetup.com/CV-Labs-Switzerland/events/262193834/,40.0,11,1560787200000,Zug,27342970,CV-Labs-Switzerland
5,vrnxvqyzjbwb,The RubyMonstas Summer BBQ!,https://www.meetup.com/RubyMonstas-Programming-for-Women/events/261786393/,,10,1560789000000,Zürich,19739877,RubyMonstas-Programming-for-Women
6,262122041,Social Perl,https://www.meetup.com/Swiss-Perl-Community-Meetup/events/262122041/,,6,1560789000000,Zürich,14243062,Swiss-Perl-Community-Meetup
7,258787674,SAP Customer Experience Day,https://www.meetup.com/SAP-Customer-Experience-Switzerland/events/258787674/,,22,1560841200000,Zürich,31056273,SAP-Customer-Experience-Switzerland
8,262092171,"(ZURICH) Get started with Rust, Stack Overflow's most loved language",https://www.meetup.com/Code4Fun/events/262092171/,40.0,30,1560873600000,8005 Zurich,28264920,Code4Fun
9,261655462,Cryptotreff - Afterwork in USTER - Juni 2019,https://www.meetup.com/cryptowelt/events/261655462/,,7,1560873600000,Uster,25868301,cryptowelt
10,261736594,Drupal Roundtable June 2019,https://www.meetup.com/Zurich-Drupal-Meetup/events/261736594/,,12,1560873600000,Zürich,18512629,Zurich-Drupal-Meetup
11,261253026,Mini-AnalyticsCamp Zurich @ Liip,https://www.meetup.com/analyticscampch/events/261253026/,75.0,52,1560873600000,Zürich,23242196,analyticscampch
12,262092231,The #DeFi investment case,https://www.meetup.com/meetup-group-MxIAcYAu/events/262092231/,60.0,16,1560873600000,Zürich,27090394,meetup-group-MxIAcYAu
13,261999281,"SLTA LegalTech Circle presenting Skribble, a LegalTech Company.",https://www.meetup.com/Zurich-Legal-Tech-Meetup/events/261999281/,,11,1560873600000,Zürich,19491054,Zurich-Legal-Tech-Meetup
14,261804396,AI reinforcement learning & analytical data mgmt with R,https://www.meetup.com/Zurich-R-User-Group/events/261804396/,120.0,120,1560875400000,Zürich,19133459,Zurich-R-User-Group
15,260883515,Modern and serverless web applications with GraphQL,https://www.meetup.com/Pantalks-tech-non-tech-talks-Panter-AG-Zurich/events/260883515/,,66,1560875400000,8005 Zürich,6569732,Pantalks-tech-non-tech-talks-Panter-AG-Zurich
16,261956820,TensorFlow 2.0 — What's New & Cell Phenotyping with Python,https://www.meetup.com/PyData-Zurich/events/261956820/,,80,1560877200000,8048 Zurich,20358742,PyData-Zurich
17,gvsjxqyzjbxb,"Learn programming with Python, Java, Javascript, C(++) or ...",https://www.meetup.com/opentechschool-zurich/events/261859787/,20.0,5,1560877200000,Zürich,8170522,opentechschool-zurich
18,frtjxqyzjbxb,"Practice your programming skills with Python, Javascript, Java, C(++) or ...",https://www.meetup.com/opentechschool-zurich/events/261844748/,,4,1560877200000,Zürich,8170522,opentechschool-zurich
19,262218394,PyData Zürich: TensorFlow 2.0 — What's New & Cell Phenotyping with Python,https://www.meetup.com/Big-Data-Developers-Switzerland/events/262218394/,,28,1560877200000,Zürich,10220112,Big-Data-Developers-Switzerland
20,262218416,PyData Meetup Zürich: TensorFlow 2.0 — What's New & Cell Phenotyping with Python,https://www.meetup.com/SwissLifeScience/events/262218416/,,3,1560877200000,Zürich,18721751,SwissLifeScience
21,261010436,First Swiss CSA chapter event - Zürich Area,https://www.meetup.com/Cloud-Security-Alliance-CSA-Chapter/events/261010436/,,36,1560961800000,Zürich,31761969,Cloud-Security-Alliance-CSA-Chapter
22,261680452,DC4131 Defcon Dojo,https://www.meetup.com/DC4131/events/261680452/,,4,1560961800000,Zürich,14489982,DC4131
23,261863683,3rd Robotics and ROS in Zurich Meetup,https://www.meetup.com/Robotics-and-ROS-in-Zurich/events/261863683/,,39,1560961800000,Zürich,31303696,Robotics-and-ROS-in-Zurich
24,262249398,Bitcoin Meetup Zürich,https://www.meetup.com/Bitcoin-Meetup-Switzerland/events/262249398/,,10,1560963600000,Zürich,8278642,Bitcoin-Meetup-Switzerland
25,262062817,Crafty Discussions Session 4 - Zurich,https://www.meetup.com/Software-Artisans/events/262062817/,,6,1560963600000,Zürich,32010407,Software-Artisans
26,258384690,"Developer UnConference Zürich, Switzerland",https://www.meetup.com/Big-Data-Developers-Switzerland/events/258384690/,90.0,78,1561014000000,Zürich,10220112,Big-Data-Developers-Switzerland
27,261416670,Big Data MeetUp,https://www.meetup.com/Big-Data-Developers-Switzerland/events/261416670/,,17,1561037400000,Zürich,10220112,Big-Data-Developers-Switzerland
28,261757869,Web Zürich June,https://www.meetup.com/Web-Zurich/events/261757869/,100.0,71,1561046400000,Zürich,19998223,Web-Zurich
29,261589953,Rethinking agility,https://www.meetup.com/DevOps-Meetup-Zurich/events/261589953/,80.0,80,1561046400000,Zürich,19506753,DevOps-Meetup-Zurich
30,259789564,13th Power BI User Group Meetup,https://www.meetup.com/Power-BI-User-Group-Switzerland/events/259789564/,80.0,54,1561046400000,Wallisellen,19234236,Power-BI-User-Group-Switzerland
31,261696009,Test in the Pub - A Mix of Topics,https://www.meetup.com/Meetup-of-Test/events/261696009/,12.0,12,1561046400000,8001 Zürich,18519439,Meetup-of-Test
32,261506101,UX ROI Zürich ,https://www.meetup.com/UX-ROI-Zurich/events/261506101/,55.0,14,1561046400000,Zürich,31900931,UX-ROI-Zurich
33,260110333,Summer time is SaltStack time!,https://www.meetup.com/Zurich-SaltStack/events/260110333/,,6,1561046400000,,18689551,Zurich-SaltStack
34,262112083,how to increase your agile leadership skills *free of cost*,https://www.meetup.com/agile-Mindset-Zurich/events/262112083/,12.0,9,1561048200000,Zürich,30490660,agile-Mindset-Zurich
35,xstdzqyzjbbc,Unreal Engine Schweiz Meetup ,https://www.meetup.com/Unreal-Engine-Schweiz/events/261504370/,,6,1561050000000,Zürich,21498984,Unreal-Engine-Schweiz
36,261894681,Zürich Blockchain Open Coffee Vol. VI,https://www.meetup.com/Zurich-Blockchain-Open-Coffee/events/261894681/,,10,1561095000000,Zürich,31219627,Zurich-Blockchain-Open-Coffee
37,260240085,Swiss Blockchain Hackathon,https://www.meetup.com/Trust-Square-Blockchain-Swiss-Made/events/260240085/,,20,1561114800000,Zürich,28411105,Trust-Square-Blockchain-Swiss-Made
38,261780281,CoderDojo Summer Finale 2019 & Cyber Protection Challenge,https://www.meetup.com/Coder-Dojo-Zurich/events/261780281/,30.0,9,1561291200000,Zürich,13186902,Coder-Dojo-Zurich
39,260442996,Andreas M. Antonopoulos: Thoughts on The Future of Programmable Money.,https://www.meetup.com/Bitcoin-Meetup-Switzerland/events/260442996/,1400.0,1319,1561307400000,Zürich,8278642,Bitcoin-Meetup-Switzerland
40,261510547,6th Swiss Oracle Cloud Community Meeting,https://www.meetup.com/Swiss-Oracle-Cloud-Community/events/261510547/,,7,1561386600000,Zürich,28518699,Swiss-Oracle-Cloud-Community
