,id,name,event_url,rsvp_limit,yes_rsvp_count,time,venue_id,venue_name,address,city,lat,lon,country,group_id,group_urlname
0,261676815,Learn from CSM Bad Practices (a little different),https://www.meetup.com/Zurich-Customer-Success-Austausch/events/261676815/,,10,1562688000000,26146877.0,Lotti,Werdmühlepl. 3,Zürich,47.37516,8.53978,ch,23965165,Zurich-Customer-Success-Austausch
1,262638543,Reinforcement Learning at IBM,https://www.meetup.com/Reinforcement-Learning-Zurich/events/262638543/,100.0,83,1562688000000,26109553.0,IBM Research Zurich,Säumerstrasse 4,Rüschlikon,47.3095,8.545072,ch,30218901,Reinforcement-Learning-Zurich
2,262604075,Open Finance - get ready for an innovation explosion!,https://www.meetup.com/meetup-group-MxIAcYAu/events/262604075/,60.0,13,1562688000000,26130784.0,TRUST SQUARE,Bahnhofstrasse 3,Zürich,47.367466,8.539913,ch,27090394,meetup-group-MxIAcYAu
3,djrddryzkbmb,DC4131 - Beer on Tuesday (BoT) Zurich,https://www.meetup.com/DC4131/events/261981001/,,9,1562689800000,10630732.0,The Lion Pub,"Oetenbachgasse 24, 8001 Zürich, Switzerland",Zürich,47.37403,8.539273,ch,14489982,DC4131
4,262642651,Field Research After Work,https://www.meetup.com/zurich-ux-research-guild/events/262642651/,20.0,14,1562689800000,26480213.0,Gessnerallee 8,Gessnerallee 8,Zürich,47.374798,8.534652,ch,31912928,zurich-ux-research-guild
5,262835397,WebMeetup Bodensee in Singen,https://www.meetup.com/web-meetup-bodensee/events/262835397/,,6,1562691600000,24517374.0,Elma Schmidbauer GmbH,Gottlieb-Daimler-Straße 17,Singen,47.75518,8.88303,de,16379942,web-meetup-bodensee
6,gvsjxqyzkbmb,"Learn programming with Python, Java, Javascript, C(++) or ...",https://www.meetup.com/opentechschool-zurich/events/262810473/,20.0,6,1562691600000,22239642.0,Liip,Limmatstrasse 183,Zürich,47.386169,8.52922,ch,8170522,opentechschool-zurich
7,tkvwdmyzkbmb,VlbgWebDev,https://www.meetup.com/VlbgWebDev/events/262574036/,,22,1562691600000,26474910.0,Millennium Park 6,Millennium Pk. 6,Lustenau,47.421097,9.672473,at,21005295,VlbgWebDev
8,262442207,6. Functional Programming Meetup Tübingen,https://www.meetup.com/Tu-Lambda/events/262442207/,,29,1562691600000,25835286.0,itdesign GmbH,Friedrichstraße 12,Tübingen,48.51679,9.06103,de,28518833,Tu-Lambda
9,262870589,Freelance : comment réussir durablement ? x Wild Code School,https://www.meetup.com/Wild-Code-School-Strasbourg/events/262870589/,60.0,12,1562754600000,25937296.0,Wild Code School - Strasbourg,32 rue du bassin d'Austerlitz,Strasbourg,48.58,7.75,fr,29705980,Wild-Code-School-Strasbourg
10,262418130,FIBREE Meet-Up in July 2019 (10 July 2019),https://www.meetup.com/FIBREE-Swiss-Chapter/events/262418130/,,11,1562774400000,25703057.0,LAB 100,Lagerstrasse 100,Zürich,47.379772,8.529582,ch,21769334,FIBREE-Swiss-Chapter
11,262605644,Strasbourg Webflow Meetup #3,https://www.meetup.com/Webflow-Meetup-Strasbourg/events/262605644/,,3,1562774400000,26108202.0,Anticafé,1 Rue de la Division Leclerc,Strasbourg,48.581013,7.746645,fr,31379793,Webflow-Meetup-Strasbourg
12,262193395,DAOs & Pharma (Decentralised Autonomous Organisations) ,https://www.meetup.com/Blockchain-in-Pharma-Network/events/262193395/,,20,1562774400000,26441237.0,Steinentorberg 18,Steinentorberg 18,Basel,47.549545,7.58769,ch,31101113,Blockchain-in-Pharma-Network
13,262412236,ScalaWebTest - integration testing made easy by Dani Rey,https://www.meetup.com/Bern-Scala-User-Group/events/262412236/,,12,1562774400000,26463357.0,Sqooba,Effingerstrasse 47,Bern,46.945602,7.429898,ch,18175332,Bern-Scala-User-Group
