,id,rating_count,rating,address_1,city,localized_country_name,lon,lat
0,136913,4,4.75,Wartauweg 18,ZÃ¼rich,Switzerland,8.54,47.380001
1,205881,0,0.0,Gasometerstrasse 5,Zürich,Switzerland,8.54,47.380001
2,25669088,0,0.0,Siewerdstr. 95,Zürich,Switzerland,8.54,47.38
3,3799422,1,5.0,Platzpromenade,ZÃ¼rich,Switzerland,8.53977,47.380833
4,24618242,0,0.0,Platzspitz,8006 Zürich ,Switzerland,8.53977,47.380833
5,24035249,0,0.0,Museumstrasse 2,Zürich,Switzerland,8.539515,47.379025
6,3804372,0,0.0,Museumstrasse 2,ZÃ¼rich,Switzerland,8.541004,47.379025
7,3535522,1,5.0,Museumstrasse 2,ZÃ¼rich,Switzerland,8.541004,47.379025
8,981674,0,0.0,Museumstrasse 2,Zürich,Switzerland,8.541004,47.379024
9,1128188,18,4.72,Museumstrasse 2,Zürich,Switzerland,8.541004,47.379024
10,16881852,2,5.0,Museumstrasse 2,Zürich,Switzerland,8.541004,47.379025
11,8828592,7,4.43, Museumstrasse 2,Zürich,Switzerland,8.541004,47.379025
12,8828412,1,5.0, Museumstrasse 2,Zürich,Switzerland,8.541004,47.379025
13,24914745,0,0.0,"Museumstrasse 2, 8001 Zürich",Zürich,Switzerland,8.541006,47.379025
14,25323659,0,0.0,Museumstrasse 2 ,Zürich,Switzerland,8.541006,47.379025
15,24540303,0,0.0,Museumstrasse,Zürich,Switzerland,8.539481,47.378811
16,9990912,3,4.33,Neumühlequai,Zürich,Switzerland,8.541947,47.380001
17,24540301,0,0.0,Sihlquai 1,Zürich,Switzerland,8.537993,47.380577
18,20491142,0,0.0,"Walchestrasse 9, 8006. ",Zürich,Switzerland,8.54228,47.379879
19,23474108,1,5.0,"Walchestrasse 9, 8006 Zurich",Zürich,Switzerland,8.54228,47.379879
20,23259792,2,5.0,Walchestrasse 9,Zürich,Switzerland,8.54228,47.379879
21,17163542,4,5.0,Walchebrücke 1,Zürich,Switzerland,8.54157,47.378849
22,25054520,0,0.0,Sihlquai/Zürich HB,Zürich,Switzerland,8.537627,47.379948
23,25538709,0,0.0,"Sihlquai 9, ",Zürich,Switzerland,8.537358,47.380146
24,741582,40,4.7,Zürich Hauptbahnhof,ZÜRICH,Switzerland,8.540191,47.378187
25,23501654,2,5.0,  Konradstrasse 2,Zürich,Switzerland,8.5373,47.380032
26,20885122,3,3.67,Konradstrasse 2,Zürich,Switzerland,8.5373,47.380032
27,24978772,0,0.0,Limmatstrasse 5,Zürich,Switzerland,8.537307,47.380146
28,25360594,0,0.0,Limmatstrasse 5,Zürich,Switzerland,8.537307,47.380146
29,25074227,14,4.64,Limmatstrasse 5,Zürich,Switzerland,8.537307,47.380146
30,6758022,27,4.74,Zürich HB,Zürich,Switzerland,8.540191,47.378174
31,6314262,0,0.0,ZÃ¼rich HB,ZÃ¼rich,Switzerland,8.540191,47.378174
32,5185222,1,3.0,Zuerich HB,ZÃ¼rich,Switzerland,8.540191,47.378174
33,7393382,1,5.0,Mainstation Zurich (Zurich HB),Zürich,Switzerland,8.540191,47.378174
34,6757812,5,5.0,Zurich HB,Zürich,Switzerland,8.540191,47.378174
35,5329332,0,0.0,Zuerich HB,ZÃ¼rich,Switzerland,8.540191,47.378174
36,6757992,28,4.64,Zurich HB,Zürich,Switzerland,8.540191,47.378174
37,25650758,0,0.0,Zurich HB,ZÃ¼rich,Switzerland,8.540191,47.378174
38,23786881,0,0.0,"in front of Ticket counter, underneath Niki de Saint Phalle's angel  (a.k.a. big weird-looking angel) hanging from the ceiling",Zürich,Switzerland,8.540154,47.378128
39,24887252,0,0.0,Zollstrasse 2,Zürich,Switzerland,8.537278,47.379616
40,25360589,0,0.0," Limmatstrasse 5, 8005 Zürich",Zürich,Switzerland,8.537246,47.380302
41,20661432,7,4.14,Limmatstrasse 5,Zürich,Switzerland,8.53723,47.380249
42,20661522,0,0.0,Limmatstrasse 5,Zürich,Switzerland,8.53723,47.380249
43,5779872,42,3.79,Limmatstrasse 5,Zuerich,Switzerland,8.537229,47.380249
44,24447033,0,0.0,Limmatstrasse 5,Zürich,Switzerland,8.537229,47.380249
45,5639352,0,0.0,Limmatstrasse 5,ZÃ¼rich,Switzerland,8.537229,47.380249
46,5689042,0,0.0,Limmatstrasse 5,Zuerich,Switzerland,8.537229,47.380249
47,24194451,0,0.0,Limmatstrasse 5,Zürich,Switzerland,8.537229,47.380249
48,5576502,1,4.0,Limmatstrasse 5,ZÃ¼rich,Switzerland,8.537229,47.380249
49,24734496,0,0.0,"Limmatstrasse 5, 8005 Zürich",Zürich,Switzerland,8.537229,47.380249
50,25541367,10,4.9,Stampfenbachplatz,Zürich,Switzerland,8.542805,47.380104
51,24499356,0,0.0," Zollstrasse 2, 8005 Zurich",Zürich,Switzerland,8.537239,47.379627
52,24614794,0,0.0,Museumstrasse 1,Zürich,Switzerland,8.540973,47.378178
53,25596857,1,5.0,Museumstrasse 1,Zürich,Switzerland,8.540973,47.378178
54,25404244,1,1.0,Museumstrasse 1,8001 Zürich,Switzerland,8.540973,47.378178
55,18856032,5,4.8,Museumstrasse 1,Zürich,Switzerland,8.540973,47.378178
56,25295374,0,0.0,Stampfenbachstrasse 69,Zürich,Switzerland,8.541739,47.381565
57,25195609,4,4.75,Konradstrasse 6,Zürich,Switzerland,8.53708,47.380116
58,15349702,2,4.0,"carparkplatz Sihlquai, 8005 Zürich ‎ ",Zürich,Switzerland,8.537361,47.380875
59,23501035,3,5.0,"Limmatstr. 28, 8005",Zürich,Switzerland,8.537171,47.380638
60,25585929,0,0.0,Stampfenbachstrasse 56,8006,Switzerland,8.542711,47.380905
